n,t,dt,action,error
16817,2.03004763154449,0.00010857331367128394,accept,1.7802044135270188e-06
16818,2.0301562048581614,0.00011943064503841235,accept,5.567343090961546e-07
16819,2.0302756355032,0.0001313737095422536,accept,4.5407201594424e-07
16820,2.030407009212742,0.00014451108049647897,accept,6.150024255621146e-08
16821,2.0305515202932383,0.00015896218854612689,accept,1.4735503113204423e-05
16822,2.0307104824817843,0.00011163566581910764,accept,9.549596125360198e-05
16823,2.0308221181476034,0.00010628536050902022,accept,4.252221885979656e-05
16824,2.0309284035081125,0.0001384562466280714,accept,4.131757265886174e-06
16825,2.0310668597547408,0.0002323098726671435,accept,0.0017940720224301238
16826,2.031299169627408,0.00012648674773969986,accept,0.004456103240275007
16827,2.0314256563751476,0.0001142062020835106,accept,0.009116914373888731
16828,2.031539862577231,0.00010226853506102766,accept,0.005130060986778878
16829,2.031642131112292,0.00010731199836043976,accept,0.00034347231581674655
16830,2.031749443110652,0.00015689056707624544,accept,0.00012437272968150514
16831,2.0319063336777283,0.0002000876590507299,accept,0.015558366395410554
16832,2.032106421336779,0.00011387323362644629,accept,0.048537801748189086
16833,2.0322202945704055,9.124020340766869e-05,accept,0.02102176341320646
16834,2.032311534773813,9.300956576284299e-05,accept,0.00321526433772116
16835,2.032404544339576,0.00011401223118770055,accept,0.0005464884102963084
16836,2.0325185565707637,0.00014837131469375912,accept,0.00011053458797209783
16837,2.0326669278854577,0.00020210576126380902,accept,0.04228268275137043
16838,2.0328690336467217,9.827485775719669e-05,accept,0.10871200208368208
16839,2.032967308504479,7.780710208895056e-05,accept,0.0023963786450392245
16840,2.033045115606568,0.00011827224087042325,accept,0.0010080460169944315
16841,2.033163387847438,0.00013655936281959643,accept,0.0005279219911521599
16842,2.0332999472102578,0.00015812636665244763,accept,0.005443630899669136
16843,2.0334580735769103,0.00012197202831513846,accept,0.03620083310988861
16844,2.0335800456052255,9.132808500933344e-05,accept,0.034673062966145814
16845,2.0336713736902348,8.395777439138288e-05,accept,0.004101700656379301
16846,2.033755331464626,0.00010470569692844297,accept,0.0012537931085533263
16847,2.0338600371615545,0.00012393065997865556,accept,0.00018338923125558464
16848,2.0339839678215332,0.0001711564465602107,accept,0.0012776362982948198
16849,2.0341551242680933,0.00014578352611318735,accept,0.0004549081634932719
16850,2.0343009077942065,0.0001768366409951661,accept,0.2009888466733329
16851,2.034477744435202,7.957640251062165e-05,accept,0.39760253489481767
16852,2.0345573208377123,6.148755418806239e-05,accept,0.03597563842862721
16853,2.0346188083919006,7.230996171017745e-05,accept,0.010425222193042993
16854,2.034691118353611,7.907635468361432e-05,accept,0.0026055986771656506
16855,2.0347701947082943,9.283868816659632e-05,accept,0.0007784380532535216
16856,2.034863033396461,0.00011226949880622135,accept,0.00013417110630292673
16857,2.034975302895267,0.00015431912132902233,accept,7.027937489640028e-05
16858,2.035129622016596,0.00019369743952992366,accept,0.00822955373021137
16859,2.035323319456126,0.00011386787972761823,accept,0.026836137228032537
16860,2.0354371873358534,9.299108827803883e-05,accept,0.012123844781336999
16861,2.0355301784241315,9.647595014486462e-05,accept,0.001661198093326316
16862,2.0356266543742763,0.00012283727781820121,accept,0.00014737770940215263
16863,2.0357494916520946,0.00018036065702784374,accept,0.0015438918609197278
16864,2.0359298523091223,0.00014607223949685206,accept,0.0006193300549956396
16865,2.0360759245486193,0.00017283581194286495,accept,0.16831846766850767
16866,2.036248760360562,8.243021661328984e-05,accept,0.3934346752086914
16867,2.0363311905771755,6.261288742206643e-05,accept,0.03372992339978048
16868,2.0363938034645974,7.424259083490263e-05,accept,0.010052156438701361
16869,2.0364680460554325,8.106943170537217e-05,accept,0.0025258137389143676
16870,2.036549115487138,9.524367493587268e-05,accept,0.0007393045549418705
16871,2.0366443591620738,0.0001156641789861522,accept,8.987472271710394e-05
16872,2.03676002334106,0.0001675860538883068,accept,0.00022664298176570854
16873,2.036927609394948,0.0001701904458838801,accept,0.004407316515501835
16874,2.037097799840832,0.0001238599319480386,accept,0.018670266096291573
16875,2.03722165977278,9.984867260941438e-05,accept,0.025593655092793936
16876,2.0373215084453897,8.947957252345076e-05,accept,6.157622968772581e-05
16877,2.037410988017913,0.00019870229441624516,accept,0.00023650562310204782
16878,2.0376096903123293,0.00019274105439521377,accept,0.009447330307686554
16879,2.0378024313667247,0.0001261530492778928,accept,0.02821846395673143
16880,2.0379285844160027,0.00010376905370128709,accept,0.05109747226306504
16881,2.038032353469704,8.785084268561785e-05,accept,0.004018049214149066
16882,2.03812020431239,0.00011445523092159082,accept,0.001073932732103833
16883,2.0382346595433116,0.00013824694973424705,accept,0.000321067329914968
16884,2.038372906493046,0.00017319753284363688,accept,0.0134347582306643
16885,2.0385461040258894,0.00011123230872666409,accept,0.05568158966017059
16886,2.038657336334616,8.603137965701132e-05,accept,0.015460745238982714
16887,2.038743367714273,9.302682179255734e-05,accept,0.0034240144903921106
16888,2.0388363945360655,0.00010941067671109478,accept,0.0005660430722405217
16889,2.0389458052127765,0.00014259777660271237,accept,3.5807309349838285e-05
16890,2.039088402989379,0.0002295757657319335,accept,0.04582350702710655
16891,2.0393179787551112,9.802238129963789e-05,accept,0.10540443423946506
16892,2.039416001136411,7.861672932760938e-05,accept,0.002732168697564438
16893,2.0394946178657385,0.00011687228965490832,accept,0.001121068567487212
16894,2.0396114901553934,0.000134721888669901,accept,0.0005930788406351155
16895,2.0397462120440633,0.00015510943850964592,accept,0.0033805777142407027
16896,2.039901321482573,0.0001297780767558855,accept,0.023091071932287623
16897,2.0400310995593287,9.865883304071195e-05,accept,0.05494225558637559
16898,2.040129758392369,8.092843662871666e-05,accept,0.001055901979603313
16899,2.0402106868289978,0.00012896025882760191,accept,0.0003345275234917883
16900,2.0403396470878254,0.0001603185375426533,accept,0.001710355626703497
16901,2.040499965625368,0.00013942528576679455,accept,0.004123311022580612
16902,2.040639390911135,0.00012667616897891898,accept,0.03985307335224162
16903,2.040766067080114,9.084871397753922e-05,accept,0.05858864573306871
16904,2.0408569157940915,7.818515658474372e-05,accept,0.005964852740069864
16905,2.040935100950676,9.758268198838536e-05,accept,0.0020408335957129626
16906,2.041032683632664,0.0001119382742714578,accept,0.00013100041211787844
16907,2.041144621906936,0.00017084168873057192,accept,0.0002720739756162811
16908,2.0413154635956663,0.0001757793510452977,accept,0.0067924213464418595
16909,2.041491242946712,0.0001224775271921948,accept,0.02629059988971645
16910,2.041613720473904,9.831910339724636e-05,accept,0.030812822553082077
16911,2.0417120395773014,8.890800872688268e-05,accept,0.0009423553513928296
16912,2.041800947586028,0.00013554594960555604,accept,0.00014114509917790075
16913,2.041936493535634,0.000188698102761286,accept,0.008412972640175105
16914,2.0421251916383953,0.00011897473766408989,accept,0.02849950558752674
16915,2.0422441663760593,9.654127399653601e-05,accept,0.02323965001136903
16916,2.0423407076500557,9.171864757457828e-05,accept,0.0015205998118035806
16917,2.0424324262976303,0.00012665127620035415,accept,0.00026792508195239324
16918,2.0425590775738307,0.0001689464949982619,accept,0.002097484642985592
16919,2.042728024068829,0.00013935875339634657,accept,0.0038339667195774934
16920,2.0428673828222252,0.0001307295010410979,accept,0.03219627046849267
16921,2.0429981123232666,9.59654400114276e-05,accept,0.08019934302743452
16922,2.043094077763278,7.716487605018705e-05,accept,0.0038594443500687124
16923,2.0431712426393283,0.00010602334244254887,accept,0.0015661009774264375
16924,2.0432772659817706,0.0001207334790458353,accept,0.0003157945856057888
16925,2.0433979994608165,0.00015774663315862425,accept,0.0005783404524381445
16926,2.043555746093975,0.00015957724366898255,accept,0.00741487426140882
16927,2.043715323337644,0.00011882974675505983,accept,0.046872955262264336
16928,2.043834153084399,8.853037786827956e-05,accept,0.031080314505295407
16929,2.043922683462267,8.496083391010987e-05,accept,0.004751158372367533
16930,2.044007644296177,0.00010253775212272612,accept,0.001341125482345949
16931,2.0441101820483,0.00012205474355185008,accept,0.00010263663566915152
16932,2.0442322367918515,0.00018466733804505268,accept,0.0012320254033596752
16933,2.0444169041298967,0.00014877397871547736,accept,0.0016146782366624447
16934,2.0445656781086123,0.00014960963398016943,accept,0.01398433344893542
16935,2.0447152877425925,0.00011318282244997237,accept,0.22170295150779618
16936,2.0448284705650424,7.194920985062906e-05,accept,0.046815189539704746
16937,2.044900419774893,7.659773659233561e-05,accept,0.010817299108613052
16938,2.044977017511485,8.5654326519275e-05,accept,0.002906576489722285
16939,2.045062671838004,9.936453741178054e-05,accept,0.0007504618262972306
16940,2.045162036375416,0.00012219511335412913,accept,1.251614409979364e-05
16941,2.04528423148877,0.00023600439939106818,accept,0.0009294645597511797
16942,2.0455202358881612,0.00015880008587809924,accept,0.0043234948400935665
16943,2.0456790359740396,0.00013440304267709513,accept,0.0186676187192625
16944,2.0458134390167166,0.00010813190722383738,accept,0.08625062432987718
16945,2.0459215709239404,8.124986742942172e-05,accept,0.013515439685046565
16946,2.04600282079137,9.379880556212972e-05,accept,0.003802405613823035
16947,2.0460966195969323,0.00010713120496463969,accept,0.0005558998763351644
16948,2.046203750801897,0.00014154274356773972,accept,3.546344960195191e-05
16949,2.0463452935454645,0.00022776343041229884,accept,0.028453290648341217
16950,2.046573056975877,0.00010410024997629975,accept,0.07278928916694156
16951,2.046677157225853,8.37965015608926e-05,accept,0.005567814150106116
16952,2.046760953727414,0.00010807087651481414,accept,0.001782963235723199
16953,2.0468690246039287,0.00012551045709824018,accept,0.0004791535670226922
16954,2.046994535061027,0.00015648438730273237,accept,0.0011960506915285238
16955,2.0471510194483296,0.00014884599614766527,accept,0.003405234250736507
16956,2.047299865444477,0.0001339150958560678,accept,0.042732767653095256
16957,2.047433780540333,9.31825539986227e-05,accept,0.14406777956336078
16958,2.047526963094332,7.090262412168281e-05,accept,0.008598160464576376
16959,2.0475978657184535,9.223866575994645e-05,accept,0.0033338924054916383
16960,2.0476901043842135,0.00010239708711879318,accept,0.0005546918164913838
16961,2.0477925014713323,0.0001334750217616376,accept,2.8517196027203728e-05
16962,2.0479259764930937,0.00022162815595485835,accept,0.004332004888122985
16963,2.0481476046490488,0.00013007122791081066,accept,0.009970547040561984
16964,2.0482776758769594,0.00011463290874549649,accept,0.029155569851357838
16965,2.0483923087857048,9.438004295632894e-05,accept,0.014753161756221468
16966,2.0484866888286613,9.600140269790053e-05,accept,0.001652767765150185
16967,2.0485826902313593,0.00012487048129871585,accept,0.00015967451498775042
16968,2.048707560712658,0.00018113102818919123,accept,0.0021002884287172024
16969,2.048888691740847,0.0001414790489462783,accept,0.002013411736861161
16970,2.0490301707897935,0.00014573074361856194,accept,0.002827850756750184
16971,2.049175901533412,0.00014226330707994635,accept,0.04479135177789768
16972,2.049318164840492,9.641900902007684e-05,accept,0.8789600622426754
16973,2.049414583849512,5.672212762641637e-05,accept,0.01441683272805402
16974,2.0494713059771383,8.277956311558487e-05,accept,0.007863337002795503
16975,2.049554085540254,8.567052994060453e-05,accept,0.001674650209491547
16976,2.049639756070195,0.00010410969352337525,accept,0.00046632559524750495
16977,2.0497438657637184,0.00012945929708411123,accept,5.134265423821598e-05
16978,2.0498733250608026,0.00019382788073990563,accept,0.0018675410848685396
16979,2.0500671529415424,0.00013670118637385383,accept,0.0033228320140954006
16980,2.050203854127916,0.0001293382325787381,accept,0.0182916802756491
16981,2.050333192360495,0.00010151927726178745,accept,0.043745783893973475
16982,2.050434711637757,8.39922824105989e-05,accept,0.001175965417397724
16983,2.0505187039201673,0.00012865316106939234,accept,0.00033000450613701165
16984,2.0506473570812367,0.0001620751734700442,accept,0.0019024353411668548
16985,2.050809432254707,0.00013859613909761458,accept,0.004795300536294469
16986,2.0509480283938046,0.00012458058438992223,accept,0.040942298011366444
16987,2.0510726089781945,9.041927944594092e-05,accept,0.04881850016486599
16988,2.0511630282576405,8.012801214018449e-05,accept,0.005526046332369813
16989,2.0512431562697806,9.9203184917821e-05,accept,0.0018167337482334184
16990,2.0513423594546984,0.00011480793116155846,accept,3.948520328936071e-05
16991,2.05145716738586,0.00020597024138928465,accept,0.0005590308395994972
16992,2.051663137627249,0.00016832238978424928,accept,0.0061059477356399435
16993,2.0518314600170333,0.00012846311066867683,accept,0.02444154426393642
16994,2.051959923127702,0.00010306087885458456,accept,0.054822641500969035
16995,2.0520629840065565,8.507229368015935e-05,accept,0.003170496658545207
16996,2.052148056300237,0.00011555945001646105,accept,0.0009937970671965845
16997,2.0522636157502534,0.00013769103093621112,accept,0.0003554608341764651
16998,2.0524013067811895,0.00016859593286598615,accept,0.010146161598877679
16999,2.0525699027140556,0.00011398729761957265,accept,0.04709492782884746
17000,2.052683890011675,8.770551061747663e-05,accept,0.018788341409580148
17001,2.0527715955222927,9.05868855047899e-05,accept,0.003550944224152999
17002,2.0528621824077975,0.00010817172203236015,accept,0.0007457598842155441
17003,2.0529703541298296,0.00013597622410417798,accept,0.0001286273892630807
17004,2.0531063303539336,0.0001872071837901223,accept,0.007622826496211317
17005,2.0532935375377237,0.00011857296635697507,accept,0.02624887289179228
17006,2.053412110504081,9.636666063904449e-05,accept,0.020524305473987887
17007,2.0535084771647196,9.241542986119871e-05,accept,0.00143001035276317
17008,2.053600892594581,0.000127086226001687,accept,0.0002316641813489115
17009,2.0537279788205827,0.00017202617971958894,accept,0.0022922081420855243
17010,2.0539000050003025,0.00013796149057999506,accept,0.004713526640211134
17011,2.0540379664908825,0.00012677668025154045,accept,0.03428769571028057
17012,2.054164743171134,9.424007763788397e-05,accept,0.05522190459198628
17013,2.054258983248772,8.052096914428072e-05,accept,0.004120414308750829
17014,2.0543395042179164,0.00010537904218409398,accept,0.0014691801962142595
17015,2.0544448832601003,0.00012195149885571688,accept,0.00025673618691581266
17016,2.054566834758956,0.00016309640326506367,accept,0.0008510095165139144
17017,2.054729931162221,0.00015264761543419227,accept,0.0037902276671249228
17018,2.0548825787776552,0.00013047180091017038,accept,0.031494887041037097
17019,2.0550130505785655,9.59669499752877e-05,accept,0.07632377319560492
17020,2.0551090175285407,7.754275186609722e-05,accept,0.0037239074249297358
17021,2.055186560280407,0.00010654072350750256,accept,0.0015006218698928743
17022,2.0552931010039144,0.00012161892947689468,accept,0.0003307270585698948
17023,2.0554147199333914,0.00015713630483532034,accept,0.0006167582436146623
17024,2.0555718562382266,0.00015825016628675615,accept,0.007214524164477444
17025,2.0557301064045133,0.00011911216479010654,accept,0.04876395254828095
17026,2.0558492185693034,8.797992186505312e-05,accept,0.03270645293793705
17027,2.0559371984911685,8.415929594843304e-05,accept,0.005060850938321771
17028,2.056021357787117,0.00010118500987547881,accept,0.001453716445043522
17029,2.0561225427969925,0.000119836766106851,accept,5.168928233285295e-05
17030,2.0562423795630993,0.00020197488230357309,accept,0.0010357277453991876
17031,2.0564443544454027,0.00015526865463176383,accept,0.0037157544466564986
17032,2.0565996231000345,0.00013586817756734696,accept,0.017953909671159445
17033,2.056735491277602,0.00010819560322631864,accept,0.10112971381601865
17034,2.0568436868808284,7.911865131256638e-05,accept,0.014867753134247793
17035,2.056922805532141,9.160212733865874e-05,accept,0.0043033971637816285
17036,2.0570144076594796,0.00010379552987113047,accept,0.0007808102260680773
17037,2.0571182031893507,0.00013225123641642968,accept,7.019125609554042e-05
17038,2.057250454425767,0.0001997542221175947,accept,0.004358280113773969
17039,2.0574502086478845,0.0001287493294476298,accept,0.011571900645938627
17040,2.057578957977332,0.00011111415081195031,accept,0.02913101173544029
17041,2.057690072128144,9.293628201933867e-05,accept,0.009579721339424248
17042,2.0577830084101634,0.00010063207987534895,accept,0.0014300249446906666
17043,2.0578836404900387,0.00012774492742686827,accept,2.4054003943334493e-05
17044,2.0580113854174655,0.0002401444535591257,accept,0.0033786634217382763
17045,2.0582515298710247,0.0001435222411176624,accept,0.0009874325329321495
17046,2.058395052112142,0.00017231529756718365,accept,0.2258492916220798
17047,2.0585673674097094,8.270530840164762e-05,accept,0.5381795724733015
17048,2.058650072718111,6.191414700634266e-05,accept,0.04397072142743061
17049,2.0587119868651174,7.300767485428313e-05,accept,0.012861119774177972
17050,2.0587849945399714,7.90943129327485e-05,accept,0.0031435425561936897
17051,2.0588640888529044,9.238122400246731e-05,accept,0.0009282820855980346
17052,2.058956470076907,0.00011106804682251252,accept,0.00016749915563210707
17053,2.0590675381237293,0.00015059261967817605,accept,4.178817117625575e-05
17054,2.0592181307434076,0.0002086230366849729,accept,0.01306170649924897
17055,2.0594267537800928,0.00010860326063811937,accept,0.037681213028120095
17056,2.059535357040731,8.862877287140832e-05,accept,0.007930148600717132
17057,2.0596239858136025,0.0001013355999169827,accept,0.0017705850241717489
17058,2.0597253214135196,0.0001222642913541498,accept,6.950877379466577e-05
17059,2.059847585704874,0.00020153298554948757,accept,0.0017174554998536321
17060,2.0600491186904235,0.0001485223765944682,accept,0.001823652246287972
17061,2.060197641067018,0.00015195264356110145,accept,0.026634360926981463
17062,2.0603495937105794,0.00010604935441147749,accept,0.28190205044852684
17063,2.0604556430649907,6.966348735561588e-05,accept,0.019740517648049852
17064,2.0605253065523463,8.62042197365715e-05,accept,0.006787011976838733
17065,2.060611510772083,9.419714918650766e-05,accept,0.0015299394031336381
17066,2.0607057079212696,0.00011420266475177567,accept,0.0002215063945570882
17067,2.060819910586021,0.00015670253057222815,accept,0.00019116140908734304
17068,2.0609766131165936,0.00017931991432430168,accept,0.009742746269921724
17069,2.061155933030918,0.00011426329173940179,accept,0.036987478376035735
17070,2.0612701963226576,9.066513851656484e-05,accept,0.016454740728022027
17071,2.061360861461174,9.307088875425722e-05,accept,0.002655622176774551
17072,2.061453932349928,0.00011431686240795621,accept,0.00044842662221748633
17073,2.061568249212336,0.00015005224308918481,accept,0.00014458565893545467
