n,t,dt,action,error
183,3.71567331001717e-05,1e-12,accept,9.045056790717797e-20
184,3.7156734100171705e-05,1e-12,accept,9.049969871791469e-20
185,3.715673510017171e-05,1e-12,accept,9.03797493404357e-20
186,3.715673610017171e-05,1e-12,accept,9.060897331695563e-20
187,3.715673710017171e-05,1e-12,accept,9.047397657379395e-20
188,3.7156738100171716e-05,1e-12,accept,9.05250401993095e-20
189,3.715673910017172e-05,1e-12,accept,9.039866470799429e-20
190,3.715674010017172e-05,1e-12,accept,9.035652280996122e-20
191,3.7156741100171724e-05,1e-12,accept,9.045429979835105e-20
192,3.715674210017173e-05,1e-12,accept,9.061601325087228e-20
193,3.715674310017173e-05,1e-12,accept,9.046479259672127e-20
194,3.715674410017173e-05,1e-12,accept,9.046690920000306e-20
195,3.7156745100171735e-05,1e-12,accept,9.052879691622201e-20
196,3.715674610017174e-05,1e-12,accept,9.059859747721209e-20
197,3.715674710017174e-05,1e-12,accept,9.056378760103873e-20
198,3.7156748100171743e-05,1e-12,accept,9.054172756453177e-20
199,3.7156749100171746e-05,1e-12,accept,9.043539779912332e-20
200,3.715675010017175e-05,1e-12,accept,9.044638566300675e-20
201,3.715675110017175e-05,1e-12,accept,9.05096122381647e-20
202,3.7156752100171755e-05,1e-12,accept,9.04070960701876e-20
203,3.715675310017176e-05,1e-12,accept,9.049060742956852e-20
204,3.715675410017176e-05,1e-12,accept,9.043044468680327e-20
205,3.715675510017176e-05,1e-12,accept,9.064947852064326e-20
206,3.7156756100171766e-05,1e-12,accept,9.048926021455052e-20
207,3.715675710017177e-05,1e-12,accept,9.04981321227749e-20
208,3.715675810017177e-05,1e-12,accept,9.06142308305613e-20
209,3.7156759100171774e-05,1e-12,accept,9.063654487754939e-20
210,3.715676010017178e-05,1e-12,accept,9.051848495401407e-20
211,3.715676110017178e-05,1e-12,accept,9.055230846242791e-20
212,3.715676210017178e-05,1e-12,accept,9.042949872364507e-20
213,3.7156763100171785e-05,1e-12,accept,9.044825093833425e-20
214,3.715676410017179e-05,1e-12,accept,9.031363931617561e-20
215,3.715676510017179e-05,1e-12,accept,9.044321607166151e-20
216,3.7156766100171794e-05,1e-12,accept,9.036937632781162e-20
217,3.7156767100171796e-05,1e-12,accept,9.053958939923044e-20
218,3.71567681001718e-05,1e-12,accept,9.0460477071569e-20
219,3.71567691001718e-05,1e-12,accept,9.048264397765545e-20
220,3.7156770100171805e-05,1e-12,accept,9.044812162863003e-20
221,3.715677110017181e-05,1e-12,accept,9.044902066460407e-20
222,3.715677210017181e-05,1e-12,accept,9.05174367059284e-20
223,3.715677310017181e-05,1e-12,accept,9.054511079550378e-20
224,3.7156774100171816e-05,1e-12,accept,9.053735999538134e-20
225,3.715677510017182e-05,1e-12,accept,9.049898573150668e-20
226,3.715677610017182e-05,1e-12,accept,9.045172184684984e-20
227,3.7156777100171824e-05,1e-12,accept,9.062068535031218e-20
228,3.715677810017183e-05,1e-12,accept,9.043925468011542e-20
229,3.715677910017183e-05,1e-12,accept,9.050461561046581e-20
230,3.715678010017183e-05,1e-12,accept,9.042785206290031e-20
231,3.7156781100171835e-05,1e-12,accept,9.05001181033033e-20
232,3.715678210017184e-05,1e-12,accept,9.049537185068483e-20
233,3.715678310017184e-05,1e-12,accept,9.05005074470053e-20
234,3.7156784100171844e-05,1e-12,accept,9.054879251737725e-20
235,3.7156785100171846e-05,1e-12,accept,9.061918890467995e-20
236,3.715678610017185e-05,1e-12,accept,9.053413060056551e-20
237,3.715678710017185e-05,1e-12,accept,9.050866623549303e-20
238,3.7156788100171855e-05,1e-12,accept,9.067559157709098e-20
239,3.715678910017186e-05,1e-12,accept,9.04347655365412e-20
240,3.715679010017186e-05,1e-12,accept,9.046872355234763e-20
241,3.715679110017186e-05,1e-12,accept,9.058907756834487e-20
242,3.7156792100171866e-05,1e-12,accept,9.058593466879575e-20
243,3.715679310017187e-05,1e-12,accept,9.050702533703638e-20
244,3.715679410017187e-05,1e-12,accept,9.056643304544287e-20
245,3.7156795100171874e-05,1e-12,accept,9.041152122061079e-20
246,3.715679610017188e-05,1e-12,accept,9.035416761377324e-20
247,3.715679710017188e-05,1e-12,accept,9.042116874135274e-20
248,3.715679810017188e-05,1e-12,accept,9.045587487200343e-20
249,3.7156799100171885e-05,1e-12,accept,9.038053994941977e-20
250,3.715680010017189e-05,1e-12,accept,9.056040554678031e-20
251,3.715680110017189e-05,1e-12,accept,9.044784409100736e-20
252,3.7156802100171894e-05,1e-12,accept,9.055654919958623e-20
253,3.7156803100171896e-05,1e-12,accept,9.052685559173099e-20
254,3.71568041001719e-05,1e-12,accept,9.044099836594471e-20
255,3.71568051001719e-05,1e-12,accept,9.043551642428044e-20
256,3.7156806100171905e-05,1e-12,accept,9.04322005996811e-20
257,3.715680710017191e-05,1e-12,accept,9.044413982715125e-20
258,3.715680810017191e-05,1e-12,accept,9.049907347403313e-20
259,3.715680910017191e-05,1e-12,accept,9.045724041567555e-20
260,3.7156810100171916e-05,1e-12,accept,9.071232871231363e-20
261,3.715681110017192e-05,1e-12,accept,9.03594712918435e-20
262,3.715681210017192e-05,1e-12,accept,9.044242263077674e-20
263,3.7156813100171924e-05,1e-12,accept,9.03816382368469e-20
264,3.715681410017193e-05,1e-12,accept,9.049080124685843e-20
265,3.715681510017193e-05,1e-12,accept,9.05534475809864e-20
266,3.715681610017193e-05,1e-12,accept,9.049076623879014e-20
267,3.7156817100171935e-05,1e-12,accept,9.053662280948236e-20
268,3.715681810017194e-05,1e-12,accept,9.056508078751505e-20
269,3.715681910017194e-05,1e-12,accept,9.037078293481999e-20
270,3.7156820100171944e-05,1e-12,accept,9.051303906529758e-20
271,3.7156821100171946e-05,1e-12,accept,9.037981064032764e-20
272,3.715682210017195e-05,1e-12,accept,9.059385068584626e-20
273,3.715682310017195e-05,1e-12,accept,9.04692733603191e-20
274,3.7156824100171955e-05,1e-12,accept,9.049672212189993e-20
275,3.715682510017196e-05,1e-12,accept,9.049199975973836e-20
276,3.715682610017196e-05,1e-12,accept,9.042247324673326e-20
277,3.715682710017196e-05,1e-12,accept,9.052103448234478e-20
278,3.7156828100171966e-05,1e-12,accept,9.048817129735237e-20
279,3.715682910017197e-05,1e-12,accept,9.050540932570022e-20
280,3.715683010017197e-05,1e-12,accept,9.059077623132572e-20
281,3.7156831100171974e-05,1e-12,accept,9.051841884707342e-20
282,3.715683210017198e-05,1e-12,accept,9.048963594935583e-20
283,3.715683310017198e-05,1e-12,accept,9.041632507668303e-20
284,3.715683410017198e-05,1e-12,accept,9.06445144587404e-20
285,3.7156835100171985e-05,1e-12,accept,9.052630647616869e-20
286,3.715683610017199e-05,1e-12,accept,9.074593621667068e-20
287,3.715683710017199e-05,1e-12,accept,9.060086348785609e-20
288,3.7156838100171994e-05,1e-12,accept,9.056566664786198e-20
289,3.7156839100171997e-05,1e-12,accept,9.036392359476283e-20
290,3.7156840100172e-05,1e-12,accept,9.040350986223417e-20
291,3.7156841100172e-05,1e-12,accept,9.053939948217119e-20
292,3.7156842100172005e-05,1e-12,accept,9.059993272509719e-20
293,3.715684310017201e-05,1e-12,accept,9.05045424758447e-20
294,3.715684410017201e-05,1e-12,accept,9.054416553763423e-20
295,3.715684510017201e-05,1e-12,accept,9.051977707685428e-20
296,3.7156846100172016e-05,1e-12,accept,9.050394440387167e-20
297,3.715684710017202e-05,1e-12,accept,9.052998005789551e-20
298,3.715684810017202e-05,1e-12,accept,9.048843531512805e-20
299,3.7156849100172024e-05,1e-12,accept,9.047805085822183e-20
300,3.715685010017203e-05,1e-12,accept,9.048153053374109e-20
301,3.715685110017203e-05,1e-12,accept,9.060667021363384e-20
302,3.715685210017203e-05,1e-12,accept,9.048884598494902e-20
303,3.7156853100172035e-05,1e-12,accept,9.042447988055934e-20
304,3.715685410017204e-05,1e-12,accept,9.047547391297723e-20
305,3.715685510017204e-05,1e-12,accept,9.057051971060193e-20
306,3.7156856100172044e-05,1e-12,accept,9.058910449808357e-20
307,3.7156857100172047e-05,1e-12,accept,9.064314771494747e-20
308,3.715685810017205e-05,1e-12,accept,9.059652690303211e-20
309,3.715685910017205e-05,1e-12,accept,9.053877058395074e-20
310,3.7156860100172055e-05,1e-12,accept,9.045867517628528e-20
311,3.715686110017206e-05,1e-12,accept,9.03270458791611e-20
312,3.715686210017206e-05,1e-12,accept,9.050161650791212e-20
