tc,Enstrophy
12.26,6.3041168654
12.28,6.2673246189
12.3,6.2305967293
12.32,6.1939447966
12.34,6.1573509173
12.36,6.1208030596
12.38,6.0843202923
12.4,6.0479531557
12.42,6.0117691708
12.44,5.9758140468
12.46,5.9400776935
12.48,5.9045119686
12.5,5.8690894556
12.52,5.8338341468
12.54,5.7987739498
12.56,5.763937304
12.58,5.7293251601
12.6,5.6949427553
12.62,5.660800581
12.64,5.6269203411
12.66,5.5933597314
12.68,5.5602156641
12.7,5.527586153
12.72,5.4955228717
12.74,5.4649258267
12.76,5.4330871407
12.78,5.4027249471
12.8,5.3730115201
12.82,5.3440382951
12.84,5.3158600293
12.86,5.2884682174
12.88,5.2618213106
12.9,5.2358851183
12.92,5.2106441151
12.94,5.1860765827
12.96,5.1621522616
12.98,5.1388400553
13,5.1161094031
13.02,5.0939131651
13.04,5.0721595219
13.06,5.0507513147
13.08,5.0295943423
13.1,5.0086396339
13.12,4.9878843318
13.14,4.9673471589
13.16,4.9470396436
13.18,4.926954152
13.2,4.9070743785
13.22,4.8873853482
13.24,4.8678701298
13.26,4.8484991645
13.28,4.8292290326
13.3,4.8100166549
13.32,4.7908369985
13.34,4.7716880843
13.36,4.7525868091
13.38,4.7335600038
13.4,4.7146240508
13.42,4.6957978344
13.44,4.6770776806
13.46,4.6584490055
13.48,4.6398937572
13.5,4.6214076118
13.52,4.6029956577
13.54,4.5846469066
13.56,4.5663349816
13.58,4.5480489934
13.6,4.529811913
13.62,4.5116576019
13.64,4.493618738
13.66,4.4756731502
13.68,4.4578134953
13.7,4.4400379691
13.72,4.4223569174
13.74,4.4047759785
13.76,4.3872923496
13.78,4.3698975248
13.8,4.3525792412
13.82,4.3353205714
13.84,4.3181020413
13.86,4.3009059854
13.88,4.2837191579
13.9,4.2665351917
13.92,4.2493543803
13.94,4.2321775962
13.96,4.2150014846
13.98,4.1978203123
14,4.1806272675
14.02,4.163410489
14.04,4.1461532178
14.06,4.1288463928
14.08,4.1115051483
14.1,4.094172016
14.12,4.0769008906
14.14,4.0597330449
14.16,4.0426820414
14.18,4.0257341465
14.2,4.0088612545
14.22,3.9920343615
14.24,3.9752350524
14.26,3.9584603612
14.28,3.941722309
14.3,3.9250413531
14.32,3.9084413633
14.34,3.8919424644
14.36,3.8755576718
14.38,3.8592874395
14.4,3.843127688
14.42,3.827067456
14.44,3.8110969814
14.46,3.7952116787
14.48,3.779411849
14.5,3.7637035672
14.52,3.7480879455
14.54,3.7325587087
14.56,3.7171047398
14.58,3.7017346247
14.6,3.686386676
14.62,3.6711221657
14.64,3.6559307578
14.66,3.6408247766
14.68,3.6258173876
14.7,3.6109211012
14.72,3.5961495974
14.74,3.5815191866
14.76,3.5670463318
14.78,3.5527430312
14.8,3.5386144855
14.82,3.5246613089
14.84,3.5108852433
14.86,3.4972901692
14.88,3.4838883779
14.9,3.4706899184
14.92,3.4576988297
14.94,3.4449127727
14.96,3.4323230256
14.98,3.4199208365
15,3.4076981922
15.02,3.3956440175
15.04,3.3837396671
15.06,3.3719620972
15.08,3.3602965637
15.1,3.3487475206
15.12,3.3373353335
15.14,3.3260770535
15.16,3.3149706949
15.18,3.3039944532
15.2,3.2931233821
15.22,3.2823435551
15.24,3.2716526269
15.26,3.2610499684
15.28,3.2505274793
15.3,3.2400687688
15.32,3.2296670388
15.34,3.2192824012
15.36,3.2089464641
15.38,3.1986537239
15.4,3.188407732
15.42,3.1782072276
15.44,3.1680451883
15.46,3.1579117
15.48,3.1477952923
15.5,3.1376997412
15.52,3.1276308604
15.54,3.1175964541
15.56,3.1076016443
15.58,3.0976495171
15.6,3.0877425328
15.62,3.0778945706
15.64,3.0680639597
15.66,3.0582877963
15.68,3.0485493118
15.7,3.0392175141
15.72,3.0291832725
15.74,3.0195538081
15.76,3.0099540713
15.78,3.0003761256
15.8,2.9908129773
15.82,2.9812621794
15.84,2.971727068
15.86,2.9622150974
15.88,2.9527350755
15.9,2.9432952665
15.92,2.9339016604
15.94,2.9245576362
15.96,2.915261219
15.98,2.9060046002
16,2.8967765896
16.02,2.8875658828
16.04,2.8783681403
16.06,2.8691852118
16.08,2.8600246136
16.1,2.8508947104
16.12,2.8418002646
16.14,2.832740109
16.16,2.8237080954
16.18,2.8146956397
16.2,2.8056954066
16.22,2.7967028294
16.24,2.7877163917
16.26,2.7787374844
16.28,2.7697649322
16.3,2.7608033704
16.32,2.7518491939
16.34,2.7429052902
16.36,2.7339691523
16.38,2.7250380319
16.4,2.7161097464
16.42,2.7071755915
16.44,2.6982378242
16.46,2.6892948649
16.48,2.6803496853
16.5,2.6714105655
16.52,2.6624733879
16.54,2.6535525143
16.56,2.6446477179
16.58,2.6357606328
16.6,2.6268918953
16.62,2.6180427167
16.64,2.6092142073
16.66,2.6004078151
16.68,2.5916256836
16.7,2.5828702196
16.72,2.5741442059
16.74,2.5654506089
16.76,2.5567924067
16.78,2.5481724061
16.8,2.5395934805
16.82,2.5310600892
16.84,2.5225706485
16.86,2.5141338941
16.88,2.5057512131
16.9,2.4974250183
16.92,2.4891558707
16.94,2.4809449594
16.96,2.4727923677
16.98,2.4646992125
17,2.4566691338
17.02,2.4486988364
17.04,2.4407912799
17.06,2.4329489733
17.08,2.4251689324
17.1,2.417449465
17.12,2.409787834
17.14,2.402183932
17.16,2.3946376015
17.18,2.3871495839
17.2,2.3797191053
17.22,2.372344795
17.24,2.3650227634
17.26,2.3577474211
17.28,2.3505131878
17.3,2.3433156007
17.32,2.3361519159
17.34,2.3290215993
17.36,2.3219247917
17.38,2.3148614564
17.4,2.3078304066
17.42,2.3008289773
17.44,2.2938533211
17.46,2.2868992144
17.48,2.2799631001
17.5,2.2730432561
17.52,2.2661390746
17.54,2.2592534508
17.56,2.2523896334
17.58,2.2455517425
17.6,2.2387405935
17.62,2.2319580885
17.64,2.225201728
17.66,2.2184676547
17.68,2.2117513206
17.7,2.2050488363
17.72,2.1983580097
17.74,2.1916797888
17.76,2.1850123962
17.78,2.1783614696
17.8,2.1717281381
17.82,2.1651135085
17.84,2.1585179301
17.86,2.151936921
17.88,2.1453695188
17.9,2.138811637
17.92,2.1322614313
17.94,2.1257194118
17.96,2.1191883565
17.98,2.112672099
18,2.1061737493
18.02,2.0996942505
18.04,2.0932322198
18.06,2.0867823313
18.08,2.0803408309
18.1,2.0739027685
18.12,2.0674685956
18.14,2.0610287182
18.16,2.0545943415
18.18,2.0481661062
18.2,2.0417441466
18.22,2.0353309359
18.24,2.0289263837
18.26,2.0225283816
18.28,2.0161353399
18.3,2.0097436086
18.32,2.0033536098
18.34,1.9969642066
18.36,1.990581466
18.38,1.9841880216
18.4,1.9778028214
18.42,1.9714211743
18.44,1.9650437648
18.46,1.958670639
18.48,1.9523008433
18.5,1.9459327992
18.52,1.9395649645
18.54,1.9331964563
18.56,1.9268272142
18.58,1.9204576394
18.6,1.914088015
18.62,1.9077181535
18.64,1.9013478624
18.66,1.8949761828
18.68,1.8886048219
18.7,1.8822352177
18.72,1.8758693323
18.74,1.8695076991
18.76,1.8631503509
18.78,1.8567955995
18.8,1.8504419267
18.82,1.844088832
18.84,1.837737405
18.86,1.8313908444
18.88,1.8250499784
18.9,1.8187187044
18.92,1.8123983448
18.94,1.8060891464
18.96,1.7997911087
18.98,1.7935041829
19,1.7872284479
19.02,1.7809640988
19.04,1.7747115331
19.06,1.7684701917
19.08,1.7622419155
19.1,1.7560278606
19.12,1.7498300036
19.14,1.7436502349
19.16,1.7374896846
19.18,1.7313484543
19.2,1.7252262194
19.22,1.7191229224
19.24,1.7130394937
19.26,1.7070062603
19.28,1.7009398509
19.3,1.6949328381
19.32,1.6889396348
19.34,1.6829766547
19.36,1.6770372507
19.38,1.6711210571
19.4,1.66523046
19.42,1.6593618057
19.44,1.6535218601
19.46,1.6477110167
19.48,1.6419268511
19.5,1.6361719226
19.52,1.6304447566
19.54,1.62474563
19.56,1.6190746244
19.58,1.6134333331
19.6,1.6078228074
19.62,1.6022421462
19.64,1.5966919103
19.66,1.5911711147
19.68,1.5856797132
19.7,1.5802183694
19.72,1.5747882544
19.74,1.5693900661
19.76,1.5640236287
19.78,1.5586880145
19.8,1.5533822221
19.82,1.548106065
19.84,1.5428593314
19.86,1.5376434793
19.88,1.5324591451
19.9,1.5273069676
19.92,1.5221874856
19.94,1.5171012229
19.96,1.5120485066
19.98,1.5070290796
20,1.5020419437
