tc,Dissipation Rate
3.4,0.0013924724
3.42,0.0014077337
3.44,0.0014226678
3.46,0.0014372208
3.48,0.0014518089
3.5,0.0014674075
3.52,0.0014847417
3.54,0.001503918
3.56,0.0015248065
3.58,0.0015472003
3.6,0.0015702004
3.62,0.0015917801
3.64,0.0016098932
3.66,0.0016246767
3.68,0.001639267
3.7,0.0016577197
3.72,0.0016819514
3.74,0.0017107321
3.76,0.0017410761
3.78,0.0017699942
3.8,0.0017954263
3.82,0.0018169847
3.84,0.0018366646
3.86,0.0018582865
3.88,0.0018851187
3.9,0.0019173836
3.92,0.0019520847
3.94,0.0019843315
3.96,0.0020158979
3.98,0.002045382
4,0.0020725492
4.02,0.0021027316
4.04,0.0021360191
4.06,0.0021727813
4.08,0.0022120026
4.1,0.0022515276
4.12,0.0022895579
4.14,0.0023260803
4.16,0.002362657
4.18,0.0024008006
4.2,0.0024406761
4.22,0.0024814769
4.24,0.0025228848
4.26,0.002565383
4.28,0.0026091918
4.3,0.0026535764
4.32,0.0026975876
4.34,0.0027411854
4.36,0.0027849522
4.38,0.0028291811
4.4,0.0028739046
4.42,0.0029195152
4.44,0.0029664552
4.46,0.0030140482
4.48,0.0030603041
4.5,0.0031036092
4.52,0.0031446747
4.54,0.0031863075
4.56,0.0032309123
4.58,0.0032783911
4.6,0.0033265459
4.62,0.003373015
4.64,0.0034165407
4.66,0.0034571438
4.68,0.0034961089
4.7,0.0035357221
4.72,0.0035779714
4.74,0.0036228055
4.76,0.0036678845
4.78,0.0037105549
4.8,0.0037502222
4.82,0.0037886176
4.84,0.0038277318
4.86,0.0038678035
4.88,0.0039074328
4.9,0.0039451811
4.92,0.0039806973
4.94,0.0040148011
4.96,0.0040491864
4.98,0.0040858804
5,0.0041260028
5.02,0.0041683013
5.04,0.0042090444
5.06,0.0042442222
5.08,0.0042726852
5.1,0.0042975073
5.12,0.0043239937
5.14,0.004355958
5.16,0.004393457
5.18,0.0044332369
5.2,0.0044708056
5.22,0.0045026243
5.24,0.0045278801
5.26,0.0045492429
5.28,0.0045715911
5.3,0.0045988802
5.32,0.0046313493
5.34,0.0046655193
5.36,0.0046969877
5.38,0.0047235003
5.4,0.0047458769
5.42,0.004766627
5.44,0.0047881131
5.46,0.0048116329
5.48,0.0048372758
5.5,0.0048640714
5.52,0.0048905064
5.54,0.0049154905
5.56,0.0049390311
5.58,0.0049618304
5.6,0.0049842389
5.62,0.0050059093
5.64,0.0050267781
5.66,0.0050480031
5.68,0.0050714475
5.7,0.0050980754
5.72,0.0051269921
5.74,0.0051561123
5.76,0.0051834765
5.78,0.0052081301
5.8,0.0052303379
5.82,0.0052514728
5.84,0.0052736746
5.86,0.0052990975
5.88,0.0053288259
5.9,0.0053621802
5.92,0.0053971974
5.94,0.0054319779
5.96,0.0054655717
5.98,0.0054977064
6,0.0055282343
6.02,0.0055574043
6.04,0.0055866058
6.06,0.0056182679
6.08,0.0056545277
6.1,0.0056958266
6.12,0.0057407137
6.14,0.0057866796
6.16,0.005831063
6.18,0.0058717537
6.2,0.0059082753
6.22,0.005942911
6.24,0.0059800856
6.26,0.0060235816
6.28,0.006073851
6.3,0.00612791
6.32,0.0061816456
6.34,0.0062323024
6.36,0.0062794685
6.38,0.0063246297
6.4,0.0063702196
6.42,0.0064186228
6.44,0.006470964
6.46,0.0065261184
6.48,0.0065813109
6.5,0.0066345077
6.52,0.006686275
6.54,0.0067388739
6.56,0.0067936701
6.58,0.0068498125
6.6,0.006905122
6.62,0.0069575469
6.64,0.0070056959
6.66,0.007048732
6.68,0.0070864617
6.7,0.0071194712
6.72,0.007148565
6.74,0.0071737705
6.76,0.0071943281
6.78,0.0072101569
6.8,0.007223112
6.82,0.0072361942
6.84,0.0072513778
6.86,0.007268494
6.88,0.0072861482
6.9,0.0073033892
6.92,0.0073205718
6.94,0.0073389622
6.96,0.0073597564
6.98,0.0073837012
7,0.0074114743
7.02,0.007443425
7.04,0.0074784502
7.06,0.0075143612
