tc,Energy,Dissipation Rate, Enstrophy
4.5892,0.11995,0.003399,2.4031
4.5992,0.11992,0.0034208,2.4184
4.6092,0.11988,0.0034427,2.4337
4.6192,0.11985,0.0034647,2.4489
4.6292,0.11981,0.0034867,2.4642
4.6392,0.11978,0.0035086,2.4795
4.6492,0.11974,0.0035306,2.4948
4.6591,0.11971,0.0035525,2.51
4.6691,0.11967,0.0035744,2.5253
4.6791,0.11964,0.0035962,2.5406
4.6891,0.1196,0.0036178,2.5558
4.6991,0.11956,0.0036392,2.571
4.7091,0.11953,0.0036606,2.5862
4.7191,0.11949,0.0036818,2.6013
4.7291,0.11945,0.0037029,2.6164
4.7391,0.11942,0.0037239,2.6315
4.7491,0.11938,0.0037447,2.6466
4.7591,0.11934,0.0037655,2.6616
4.7691,0.1193,0.0037861,2.6766
4.7791,0.11927,0.0038065,2.6915
4.7891,0.11923,0.0038268,2.7064
4.7991,0.11919,0.0038467,2.7212
4.8091,0.11915,0.0038663,2.7359
4.8191,0.11911,0.0038857,2.7506
4.8291,0.11907,0.003905,2.7652
4.8391,0.11903,0.0039242,2.7798
4.8491,0.11899,0.0039432,2.7942
4.8591,0.11895,0.0039621,2.8087
4.8691,0.11891,0.0039808,2.823
4.8791,0.11887,0.0039992,2.8372
4.8891,0.11883,0.0040175,2.8514
4.8991,0.11879,0.0040356,2.8655
4.9091,0.11875,0.0040537,2.8795
4.9191,0.11871,0.0040716,2.8935
4.9291,0.11867,0.0040895,2.9073
4.9391,0.11863,0.0041074,2.921
4.9491,0.11859,0.004125,2.9347
4.9591,0.11855,0.0041423,2.9482
4.9691,0.11851,0.0041595,2.9617
4.9791,0.11847,0.0041767,2.9751
4.9891,0.11842,0.0041937,2.9883
4.9991,0.11838,0.0042107,3.0015
5.0091,0.11834,0.0042276,3.0146
5.0191,0.1183,0.0042442,3.0275
5.0291,0.11825,0.0042608,3.0404
5.0391,0.11821,0.0042773,3.0532
5.0491,0.11817,0.0042938,3.0658
5.0591,0.11813,0.0043103,3.0784
5.0691,0.11808,0.0043265,3.0909
5.0791,0.11804,0.0043424,3.1032
5.0891,0.118,0.0043582,3.1155
5.0991,0.11795,0.0043738,3.1277
5.1091,0.11791,0.0043894,3.1397
5.1191,0.11786,0.0044052,3.1517
5.1291,0.11782,0.0044206,3.1635
5.1391,0.11778,0.0044358,3.1753
5.1491,0.11773,0.004451,3.187
5.1591,0.11769,0.0044659,3.1986
5.1691,0.11764,0.0044807,3.21
5.1791,0.1176,0.0044954,3.2214
5.1891,0.11755,0.00451,3.2327
5.1991,0.11751,0.0045244,3.2439
