n,t,i,p,u,v
2277,9.474999999999996,3,0.00012314643054464004,2.4729986706247125e-06,1.7690379313997131e-06
2278,9.487499999999995,1,-,-,-
2279,9.487499999999995,2,-,-,-
2280,9.487499999999995,3,0.00012400439777395116,2.506341758657283e-06,1.7393131241914843e-06
2281,9.499999999999995,1,-,-,-
2282,9.499999999999995,2,-,-,-
2283,9.499999999999995,3,0.00012486423553279078,2.502442464871429e-06,1.7709493720534478e-06
2284,9.512499999999994,1,-,-,-
2285,9.512499999999994,2,-,-,-
2286,9.512499999999994,3,0.00012580854278116914,2.515193030099165e-06,1.7872855465802526e-06
2287,9.524999999999993,1,-,-,-
2288,9.524999999999993,2,-,-,-
2289,9.524999999999993,3,0.00012676261670056506,2.5063136036718377e-06,1.7355255331682425e-06
2290,9.537499999999993,1,-,-,-
2291,9.537499999999993,2,-,-,-
2292,9.537499999999993,3,0.00012762915296566743,2.508907146859812e-06,1.7613308889694303e-06
2293,9.549999999999992,1,-,-,-
2294,9.549999999999992,2,-,-,-
2295,9.549999999999992,3,0.00012846890356729896,2.535370195906925e-06,1.788613194471308e-06
2296,9.562499999999991,1,-,-,-
2297,9.562499999999991,2,-,-,-
2298,9.562499999999991,3,0.0001292996794600669,2.5305540152539503e-06,1.7435028092593033e-06
2299,9.57499999999999,1,-,-,-
2300,9.57499999999999,2,-,-,-
2301,9.57499999999999,3,0.00012994613613242337,2.534454216090042e-06,1.7434886145070366e-06
2302,9.58749999999999,1,-,-,-
2303,9.58749999999999,2,-,-,-
2304,9.58749999999999,3,0.00013053525372772563,2.5559082198969166e-06,1.764283118185826e-06
2305,9.599999999999989,1,-,-,-
2306,9.599999999999989,2,-,-,-
2307,9.599999999999989,3,0.0001309830017339132,2.5564939147113007e-06,1.7417475871779651e-06
2308,9.612499999999988,1,-,-,-
2309,9.612499999999988,2,-,-,-
2310,9.612499999999988,3,0.00013140084246749753,2.5500823382787764e-06,1.7447733614626842e-06
2311,9.624999999999988,1,-,-,-
2312,9.624999999999988,2,-,-,-
2313,9.624999999999988,3,0.00013166329559603833,2.5526305731807113e-06,1.746291398019597e-06
2314,9.637499999999987,1,-,-,-
2315,9.637499999999987,2,-,-,-
2316,9.637499999999987,3,0.00013183890064511467,2.549621015608929e-06,1.7356212686432072e-06
2317,9.649999999999986,1,-,-,-
2318,9.649999999999986,2,-,-,-
2319,9.649999999999986,3,0.0001319088627907777,2.535349766660004e-06,1.7318147625339402e-06
2320,9.662499999999985,1,-,-,-
2321,9.662499999999985,2,-,-,-
2322,9.662499999999985,3,0.00013195230341648214,2.5307620271468683e-06,1.7211135376375964e-06
2323,9.674999999999985,1,-,-,-
2324,9.674999999999985,2,-,-,-
2325,9.674999999999985,3,0.0001318617634607204,2.539920324621102e-06,1.733781601678254e-06
2326,9.687499999999984,1,-,-,-
2327,9.687499999999984,2,-,-,-
